anio,mes_num,mes,departamento,combustible,precio_soles_galon,archivo_fuente,combustible_norm
2020,4,Abril,AMAZONAS,GLP 1/,1.9,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,AMAZONAS,G95,14.65,2020/Reporte-Mensual-Precios-Abril-2020.pdf,G95
2020,4,Abril,AMAZONAS,G90,12.94,2020/Reporte-Mensual-Precios-Abril-2020.pdf,G90
2020,4,Abril,AMAZONAS,G84,12.1,2020/Reporte-Mensual-Precios-Abril-2020.pdf,G84
2020,4,Abril,AMAZONAS,DIESEL B5 UV,12.45,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 UV
2020,4,Abril,ANCASH,GLP 1/,1.55,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,ANCASH,Gasohol 84 Plus,13.01,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,ANCASH,Gasohol 90 Plus,13.38,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,ANCASH,Gasohol 95 Plus,14.36,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,ANCASH,Gasohol 97 Plus,14.8,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,ANCASH,Gasohol 98 Plus,15.66,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 98 PLUS
2020,4,Abril,ANCASH,DIESEL B5 S-50 UV,12.88,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 S-50 UV
2020,4,Abril,ANCASH,GNV 2/,2.06,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GNV
2020,4,Abril,APURIMAC,GLP 1/,2.09,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,APURIMAC,Gasohol 84 Plus,12.74,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,APURIMAC,Gasohol 90 Plus,13.18,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,APURIMAC,Gasohol 95 Plus,14.07,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,APURIMAC,Gasohol 97 Plus,14.24,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,APURIMAC,DIESEL B5 S-50 UV,12.94,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 S-50 UV
2020,4,Abril,AREQUIPA,GLP 1/,1.43,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,AREQUIPA,Gasohol 84 Plus,12.17,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,AREQUIPA,Gasohol 90 Plus,12.48,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,AREQUIPA,Gasohol 95 Plus,13.89,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,AREQUIPA,Gasohol 97 Plus,15.07,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,AREQUIPA,Gasohol 98 Plus,15.49,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 98 PLUS
2020,4,Abril,AREQUIPA,DIESEL B5 S-50 UV,12.48,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 S-50 UV
2020,4,Abril,AYACUCHO,GLP 1/,2.13,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,AYACUCHO,Gasohol 84 Plus,12.99,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,AYACUCHO,Gasohol 90 Plus,13.04,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,AYACUCHO,Gasohol 95 Plus,13.63,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,AYACUCHO,Gasohol 97 Plus,14.27,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,AYACUCHO,Gasohol 98 Plus,13.9,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 98 PLUS
2020,4,Abril,AYACUCHO,DIESEL B5 S-50 UV,12.87,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 S-50 UV
2020,4,Abril,CAJAMARCA,GLP 1/,2.02,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,CAJAMARCA,Gasohol 84 Plus,12.84,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,CAJAMARCA,Gasohol 90 Plus,13.3,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,CAJAMARCA,Gasohol 95 Plus,14.57,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,CAJAMARCA,Gasohol 97 Plus,15.51,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,CAJAMARCA,Gasohol 98 Plus,15.89,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 98 PLUS
2020,4,Abril,CAJAMARCA,DIESEL B5 S-50 UV,12.71,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 S-50 UV
2020,4,Abril,CUSCO,GLP 1/,2.43,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,CUSCO,Gasohol 84 Plus,12.79,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,CUSCO,Gasohol 90 Plus,12.71,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,CUSCO,Gasohol 95 Plus,13.59,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,CUSCO,Gasohol 97 Plus,14.37,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,CUSCO,Gasohol 98 Plus,16.58,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 98 PLUS
2020,4,Abril,CUSCO,DIESEL B5 S-50 UV,12.85,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 S-50 UV
2020,4,Abril,HUANCAVELICA,GLP 1/,1.84,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,HUANCAVELICA,Gasohol 84 Plus,12.82,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,HUANCAVELICA,Gasohol 90 Plus,13.4,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,HUANCAVELICA,Gasohol 95 Plus,14.47,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,HUANCAVELICA,Gasohol 97 Plus,15.73,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,HUANCAVELICA,DIESEL B5 S-50 UV,13.25,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 S-50 UV
2020,4,Abril,HUANUCO,GLP 1/,1.49,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,HUANUCO,Gasohol 84 Plus,12.09,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,HUANUCO,Gasohol 90 Plus,12.72,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,HUANUCO,Gasohol 95 Plus,13.4,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,HUANUCO,Gasohol 97 Plus,13.78,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,HUANUCO,Gasohol 98 Plus,14.29,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 98 PLUS
2020,4,Abril,HUANUCO,DIESEL B5 S-50 UV,12.39,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 S-50 UV
2020,4,Abril,ICA,GLP 1/,1.39,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,ICA,Gasohol 84 Plus,11.95,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,ICA,Gasohol 90 Plus,12.25,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,ICA,Gasohol 95 Plus,13.19,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,ICA,Gasohol 97 Plus,13.88,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,ICA,Gasohol 98 Plus,14.81,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 98 PLUS
2020,4,Abril,ICA,DIESEL B5 S-50 UV,12.42,2020/Reporte-Mensual-Precios-Abril-2020.pdf,DIESEL B5 S-50 UV
2020,4,Abril,ICA,GNV 2/,1.84,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GNV
2020,4,Abril,JUNIN,GLP 1/,1.45,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GLP
2020,4,Abril,JUNIN,Gasohol 84 Plus,12.76,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 84 PLUS
2020,4,Abril,JUNIN,Gasohol 90 Plus,12.97,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 90 PLUS
2020,4,Abril,JUNIN,Gasohol 95 Plus,13.81,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 95 PLUS
2020,4,Abril,JUNIN,Gasohol 97 Plus,14.39,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 97 PLUS
2020,4,Abril,JUNIN,Gasohol 98 Plus,16.48,2020/Reporte-Mensual-Precios-Abril-2020.pdf,GASOHOL 98 PLUS
